Accession,suppdata_id,Type,QCType,SRP,pi0,fp,rs,ud,Type_after_filter,QCType_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter
GSE58405,GSE58405_isoform_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58379,GSE58379_RBM47_alternative_splicing.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE32038,GSE32038_tss_group_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109065,GSE109065_Shoot_Cuffdiff_result.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109461,GSE109461_expression_data.txt.gz,bimodal,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.8975734798591368,0.2790031506854755,40.6,692.3881823633382,88.02824438291316
GSE101996,GSE101996_bfx319.2month.table2.csv.gz,other,other,NA,NA,NA,NA,NA,other,uniform,NA,NA,NA,NA,NA
GSE107389,GSE107389_NTC.xlsx,conservative,conservative,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE89319,GSE89319_7hpf_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100332,GSE100332_Input_Mett3gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE82164,GSE82164_Cuffdiff_transcript_differential_expression_testing.tabular.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94967,GSE94967_isoform_exp.diff_A_B_ISOFORM.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94821,GSE94821_cuffdiff_mock_vs_8hpi.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE81100,GSE81100_youngARSER_output.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61336,GSE61336_results_WTL_vs_WTZ.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,NA,0.9856892789440136,NA,NA,NA
GSE64854,GSE64854_splicing.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8535_vs_OtA8538_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59290,GSE59290_MIR_isoform_exp.diff.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58360,GSE58360_Cebpa.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE120293,GSE120293_CDYL-Processed_data.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE118915,GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.9878216684064307,0.8497774154871902,20.900000000000002,392.2639845241936,4.895636156279011
GSE114998,GSE114998_Spreadsheet1_CT_Repbase.xlsx,conservative,conservative,NA,NA,NA,NA,NA,other,uniform,NA,NA,NA,NA,NA
GSE109185,GSE109185_E3_F5_DESeq2.csv.gz,other,conservative,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.6month.table1.csv.gz,other,other,NA,NA,NA,NA,NA,uniform,uniform,NA,NA,NA,NA,NA
GSE94967,GSE94967_tss_group_exp.diff_A_B_TSS.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE86323,GSE86323_gene_exp.diff.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE60177,GSE60177_PseudomonasDESeq.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_cds.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_tss_group_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8536_vs_OtA8539_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Gencode_gene_exp.diff.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63570,GSE63570_Rec_siRNA_RNA-seq.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58359,GSE58359_HOXA9.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE120293,GSE120293_CSDS-Processed_data.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-gene_exp,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-status = ok,other,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE114998,GSE114998_Spreadsheet2_CT_mRNAseq.xlsx,uniform,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.6362772396589209,0.849502577069023,12,145.07121064223398,130.33436399865627
GSE113114,GSE113114_Het_vs_KO.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.6month.table2.csv.gz,other,other,NA,NA,NA,NA,NA,other,conservative,NA,NA,NA,NA,NA
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE87532,GSE87532_gene_exp.diff.name.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76533,GSE76533_leaf.gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_cds_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE71943,GSE71943_KO_vs_WT_diffGenes.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8537_vs_OtA8540_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Rinn_gene_exp.diff.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66716,GSE66716_Lim_et_al_14-3-3zKOWAT_Processed_data_Cuffdiff.xlsx,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70860,GSE70860_DEaxons.csv.gz,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.9387705599600888,0.21136765556678502,11.3,201.55403922343106,14.003379885632341
GSE57680,GSE57680_RPKM_luminal_epithelium.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37111,GSE37111_clip.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE106709,GSE106709_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE91400,GSE91400_isoform_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-CASK,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,NA,0.9822275051483752,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-SAP97,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.6428132126093816,0.6463853138067563,9.200000000000001,112.3637495641199,97.12969368260437
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-MDX,other,other,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE98869,GSE98869_diffexp.tsv.gz,spiky,other,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE77037,GSE77037_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP_VS_LL-YY,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-LL-YY,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76533,GSE76533_seedling.gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76683,GSE76683_shHOXA7gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8538_vs_OtA8541_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE71281,GSE71281_G53_veh_vs_SAA_Th17_CuffDiff_Gene_Differential.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Gencode_gene_exp.diff.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70860,GSE70860_DEsoma.csv.gz,other,conservative,NA,NA,NA,NA,NA,other,conservative,NA,NA,NA,NA,NA
GSE67554,GSE67554_TAG5_Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE57680,GSE57680_RPKM_stroma.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50424,GSE50424_Adipose.tsv.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE119029,GSE119029_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.8533651239783228,0.7585163174342107,25,405.3484338897033,81.61988831414442
GSE97980,GSE97980_N2_vs_nlg.xlsx-sheet-N2vsnlg_DE,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101995,GSE101995_bfx556.deseq.csv.gz,other,other,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE106605,GSE106605_gene_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76682,GSE76682_EB_AM580gene_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_isoform_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8539_vs_OtA8542_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Rinn_gene_exp.diff.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE67554,GSE67554_ZG14_Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50424,GSE50424_Liver.tsv.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,conservative,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,NA,0.9629350650513016,NA,NA,NA
GSE97980,GSE97980_N2_vs_nrx.xlsx-sheet-N2vsnrx,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,other,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.5884833346848475,0.83286088141942,4.1000000000000005,45.84285177194961,54.47418191581933
GSE79633,GSE79633_DESeq2_out_FO_GFP_vs_WT.txt.gz,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.7977882003412095,0.76545001287161,22.75,344.8439495974878,109.56047026658098
GSE65142,GSE65142_HYBP.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8540_vs_OtA8543_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE68102,GSE68102_gene_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_AL_R_vs_AL_L.diff_expressed_transcripts.tsv.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE104286,GSE104286_Gene_differential_expression.xlsx,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122992,GSE122992_DEseq_AR6-AR7-AR13-AR19_AR8-AR9-AR17-AR24_DEG_list.csv.gz,conservative,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,NA,0.9131455677647643,NA,NA,NA
GSE117682,GSE117682_gene_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,conservative,other,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE97980,GSE97980_N2_vs_nrx_nlg.xlsx-sheet-N2_vs_nrx_nlg,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100367,GSE100367_CL6768_vs_CL6364_processed.txt.gz,other,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.6466977937319353,0.7000182672141761,8.25,101.36987916748085,85.63524009094567
GSE101994,GSE101994_bfx564.deseq.csv.gz,other,other,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE103914,GSE103914_ZLD_differential_gene_expression.csv.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE98650,GSE98650_mb1_hdac3_cuffdiff_out.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz-set-0,other,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz-set-1,other,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93866,GSE93866_IDOE_GENE_EXPRESSION.xlsx,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85308,GSE85308_gene_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72830,GSE72830_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_DP1_WTvKO.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64455,GSE64455_cuffdiff_out.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65542,GSE65542_pnky_kd.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_ChL_R_vs_AL_R.diff_expressed_transcripts.tsv.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE42381,GSE42381_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE44668,GSE44668_gene_exp_diff.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE40948,GSE40948_MEF_vs_ESC_2replicates_expression.tsv.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109850,GSE109850_DifferentialAnalysis.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_T372A_overexpression.DESeq2_Results.xlsx,conservative,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.7001623742040811,0.7368754138873802,22.35,297.323952205763,181.85217098958867
GSE110698,GSE110698_HepG2_cyt_vs_HepG2_tot.xls.gz,spiky,other,NA,NA,NA,NA,NA,other,other,NA,NA,NA,NA,NA
GSE96684,GSE96684_Cuffdiff_4WT_4Mecp2_null_gene_differential_expression_testing.tabular.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85308,GSE85308_processed_data.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_tss_group_exp.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65987,GSE65987_FPKM_for_MEFs.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65142,GSE65142_YH.txt.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72830,GSE72830_tss_group_exp.diff.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_DP2_WTvKO.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65542,GSE65542_ptbp1_kd.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58910,GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz,bimodal,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.8374049365617487,0.6923670574515448,15.850000000000001,252.18449664557062,58.472909839144165
GSE60701,GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE44665,GSE44665_gene_exp.diff.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122990,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.8488821196347848,0.47136778079446023,41.45,668.5371133183747,140.19954470572225
GSE116650,GSE116650_gene_exp.diff.txt.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.5697079418963522,0.717859774641845,19.5,211.0767924725985,279.8332194505472
GSE100829,GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,spiky,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.9071913910625795,0.13595244623735556,9.200000000000001,158.5770551577389,17.882604489069735
GSE98258,GSE98258_annotated_diffana_exp++_p100++-p30++.txt.gz,bimodal,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.7637841555110301,0.7866952397964416,15.100000000000001,219.12967421611452,88.72968271846634
GSE73615,GSE73615_cds.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102597,GSE102597_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84158,GSE84158_gene_exp.diff.gz,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA1N-1P_RPKM.xlsx.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76994,GSE76994_TKD_H2O_DEseq.xls.gz,bimodal,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.8878821631721867,0.7141948878051181,29.650000000000002,500.1884166230514,71.13734907263779
GSE72917,GSE72917_KO_DP1vDP2.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE51144,GSE51144_all_exons.txt.gz,other,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE97738,GSE97738_hypothalamic_DEG.xls.gz-sheet-origin,bimodal,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.5826770361863068,0.8238737371185642,12.450000000000001,137.83225290987087,169.42103594170962
GSE98258,GSE98258_annotated_diffana_exp+-_p100+--p30+-.xlsx,bimodal,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.6985038809379839,0.5867208856555877,26.3,349.0423893047105,215.6861469301778
GSE98580,GSE98580_DESeq2_ERbeta_EV_HEK293.txt.gz,conservative,other,NA,NA,NA,NA,NA,anti-conservative,anti-conservative,0.7681236916801388,0.6957409886107503,30.05,438.56022176477524,172.3547648239371
GSE106365,GSE106365_S2.L7vsControl.Differential_analysis_results.txt.gz,conservative,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p11.diff.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA27N-27P_RPKM.xlsx.gz,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84786,GSE84786_gene_exp.xls.gz-sheet-gene_exp,conservative,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
