Accession,suppdata_id,Type,pi0,SRP,pi01,fp,rs,ud,Type_after_filter,pi0_after_filter,SRP_after_filter,pi01_after_filter,fp_after_filter,rs_after_filter,ud_after_filter
GSE59290,GSE59290_ANTI_isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58405,GSE58405_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58379,GSE58379_RBM47_alternative_splicing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE32038,GSE32038_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109065,GSE109065_Shoot_Cuffdiff_result.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109461,GSE109461_expression_data.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,anti-conservative,0.2790031506854755,0.8708058353594997,0.2568404749612803,40.6,671.7396213963181,114.44615384615395
GSE101996,GSE101996_bfx319.2month.table2.csv.gz,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE107389,GSE107389_NTC.xlsx,conservative,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE89319,GSE89319_7hpf_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100332,GSE100332_Input_Mett3gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE82164,GSE82164_Cuffdiff_transcript_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94967,GSE94967_isoform_exp.diff_A_B_ISOFORM.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94821,GSE94821_cuffdiff_mock_vs_8hpi.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE81100,GSE81100_youngARSER_output.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61336,GSE61336_results_WTL_vs_WTZ.txt.gz,conservative,NA,NA,NA,NA,NA,NA,anti-conservative,0.9856892789440136,NA,0.9492933488678384,NA,NA,NA
GSE64854,GSE64854_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8535_vs_OtA8538_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59290,GSE59290_MIR_isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58360,GSE58360_Cebpa.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE120293,GSE120293_CDYL-Processed_data.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE118915,GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.8497774154871902,0.9024999999999995,0.835575485799701,20.900000000000002,358.38274999999976,42.900000000000205
GSE114998,GSE114998_Spreadsheet1_CT_Repbase.xlsx,conservative,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE109185,GSE109185_E3_F5_DESeq2.csv.gz,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.6month.table1.csv.gz,other,NA,NA,NA,NA,NA,NA,uniform,NA,NA,NA,NA,NA,NA
GSE94967,GSE94967_tss_group_exp.diff_A_B_TSS.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE86323,GSE86323_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE60177,GSE60177_PseudomonasDESeq.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_cds.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8536_vs_OtA8539_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Gencode_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63570,GSE63570_Rec_siRNA_RNA-seq.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50557,GSE50557_rnaseq-lbl1-Cuffdiff_gene_expression.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58359,GSE58359_HOXA9.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE120293,GSE120293_CSDS-Processed_data.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-gene_exp,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE116607,GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-status = ok,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE114998,GSE114998_Spreadsheet2_CT_mRNAseq.xlsx,uniform,NA,NA,NA,NA,NA,NA,anti-conservative,0.827021743442027,NA,NA,NA,NA,NA
GSE113114,GSE113114_Het_vs_KO.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.6month.table2.csv.gz,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE100277,GSE100277_Mett3_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE87532,GSE87532_gene_exp.diff.name.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76533,GSE76533_leaf.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_cds_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE71943,GSE71943_KO_vs_WT_diffGenes.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8537_vs_OtA8540_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Normoxia_vs_Hypoxia_Rinn_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66716,GSE66716_Lim_et_al_14-3-3zKOWAT_Processed_data_Cuffdiff.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70860,GSE70860_DEaxons.csv.gz,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.21136765556678502,0.8853608247422678,0.16379310344827586,11.3,190.0869690721649,27.80000000000004
GSE57680,GSE57680_RPKM_luminal_epithelium.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE37111,GSE37111_clip.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE106709,GSE106709_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE91400,GSE91400_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-CASK,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.9822275051483752,NA,0.9586229725256539,NA,NA,NA
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-SAP97,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.6463853138067563,0.5217910447761193,0.5643693107932379,9.200000000000001,91.20907462686564,160.20000000000007
GSE102772,GSE102772_comparison_RNA_expression.xlsx-sheet-MDX,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE98869,GSE98869_diffexp.tsv.gz,spiky,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE77037,GSE77037_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP_VS_LL-YY,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-DSP-TP,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93021,GSE93021_DSP-TP_LL-YY_FPKM.xlsx-sheet-LL-YY,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76533,GSE76533_seedling.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76683,GSE76683_shHOXA7gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8538_vs_OtA8541_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE71281,GSE71281_G53_veh_vs_SAA_Th17_CuffDiff_Gene_Differential.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Gencode_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70860,GSE70860_DEsoma.csv.gz,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE67554,GSE67554_TAG5_Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE57680,GSE57680_RPKM_stroma.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50424,GSE50424_Adipose.tsv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE119029,GSE119029_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA,anti-conservative,0.7585163174342107,0.7385159010600707,0.7209623348451982,25,350.7950530035336,168.18181818181813
GSE97980,GSE97980_N2_vs_nlg.xlsx-sheet-N2vsnlg_DE,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101995,GSE101995_bfx556.deseq.csv.gz,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE106605,GSE106605_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76682,GSE76682_EB_AM580gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8539_vs_OtA8542_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70544,GSE70544_Vehicle_vs_Cytokine_Rinn_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE67554,GSE67554_ZG14_Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE50424,GSE50424_Liver.tsv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372A_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA,anti-conservative,0.9629350650513016,NA,0.9483220620135256,NA,NA,NA
GSE97980,GSE97980_N2_vs_nrx.xlsx-sheet-N2vsnrx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100367,GSE100367_CL6566_vs_CL6364_processed.txt.gz,other,NA,NA,NA,NA,NA,NA,anti-conservative,0.83286088141942,0.40223752151463,0.7554713804713805,4.1000000000000005,31.33430292598967,115.76666666666664
GSE79633,GSE79633_DESeq2_out_FO_GFP_vs_WT.txt.gz,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.76545001287161,0.6162423625254584,0.6963512677798392,22.75,266.37076120162936,269.17857142857133
GSE65142,GSE65142_HYBP.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76190,GSE76190_OtA8540_vs_OtA8543_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE68102,GSE68102_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_AL_R_vs_AL_L.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE104286,GSE104286_Gene_differential_expression.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122992,GSE122992_DEseq_AR6-AR7-AR13-AR19_AR8-AR9-AR17-AR24_DEG_list.csv.gz,conservative,NA,NA,NA,NA,NA,NA,anti-conservative,0.9131455677647643,NA,0.8992318120198824,NA,NA,NA
GSE117682,GSE117682_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,conservative,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE97980,GSE97980_N2_vs_nrx_nlg.xlsx-sheet-N2_vs_nrx_nlg,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100367,GSE100367_CL6768_vs_CL6364_processed.txt.gz,other,NA,NA,NA,NA,NA,NA,anti-conservative,0.7000182672141761,0.5289651293588302,0.6332508250825083,8.25,82.91528402699663,139.58333333333331
GSE101994,GSE101994_bfx564.deseq.csv.gz,other,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE103914,GSE103914_ZLD_differential_gene_expression.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE98650,GSE98650_mb1_hdac3_cuffdiff_out.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz-set-0,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz-set-1,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93866,GSE93866_IDOE_GENE_EXPRESSION.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85308,GSE85308_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72830,GSE72830_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_DP1_WTvKO.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64455,GSE64455_cuffdiff_out.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65542,GSE65542_pnky_kd.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE60701,GSE60701_ChL_R_vs_AL_R.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE42381,GSE42381_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE44668,GSE44668_gene_exp_diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE40948,GSE40948_MEF_vs_ESC_2replicates_expression.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109850,GSE109850_DifferentialAnalysis.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_T372A_overexpression.DESeq2_Results.xlsx,conservative,NA,NA,NA,NA,NA,NA,anti-conservative,0.7368754138873802,0.5258823529411765,0.6496746203904555,22.35,223.31594117647057,382.85
GSE110698,GSE110698_HepG2_cyt_vs_HepG2_tot.xls.gz,spiky,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA
GSE96684,GSE96684_Cuffdiff_4WT_4Mecp2_null_gene_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85308,GSE85308_processed_data.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE75878,GSE75878_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65987,GSE65987_FPKM_for_MEFs.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65142,GSE65142_YH.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72830,GSE72830_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72917,GSE72917_DP2_WTvKO.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65542,GSE65542_ptbp1_kd.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58910,GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz,bimodal,NA,NA,NA,NA,NA,NA,anti-conservative,0.6923670574515448,0.7363080684596577,0.6501283147989735,15.850000000000001,221.7391748166259,107.85000000000002
GSE60701,GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE44665,GSE44665_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122990,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.47136778079446023,0.7849335548172758,0.42830009496676164,41.45,618.1744210963456,215.7833333333333
GSE116650,GSE116650_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_T372E_overexpression_vs_tagged_EZH2_overexpression.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA,anti-conservative,0.717859774641845,0.41330677290836654,0.6110938952587542,19.5,153.1301593625498,525.9285714285714
GSE100829,GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,spiky,NA,NA,NA,NA,NA,NA,anti-conservative,0.13595244623735556,0.8743362831858406,0.10348395998620212,9.200000000000001,152.8339823008849,25.12307692307695
GSE98258,GSE98258_annotated_diffana_exp++_p100++-p30++.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,anti-conservative,0.7866952397964416,0.7078956644342617,0.7698547902977205,15.100000000000001,203.09526612618964,118.38571428571419
GSE73615,GSE73615_cds.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102597,GSE102597_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84158,GSE84158_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE72820,GSE72820_MDA1N-1P_RPKM.xlsx.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76994,GSE76994_TKD_H2O_DEseq.xls.gz,bimodal,NA,NA,NA,NA,NA,NA,anti-conservative,0.7141948878051181,0.8501257545271629,0.7015015015015015,29.650000000000002,478.91834381287725,99.31666666666672
GSE72917,GSE72917_KO_DP1vDP2.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE51144,GSE51144_all_exons.txt.gz,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE97738,GSE97738_hypothalamic_DEG.xls.gz-sheet-origin,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108418,GSE108418_tagged_EZH2_overexpression_vs_overexpressing_cells.DESeq2_Results.xlsx,other,NA,NA,NA,NA,NA,NA,anti-conservative,0.8238737371185642,0.42015985790408505,0.7557483731019522,12.450000000000001,99.38881438721131,326.4500000000003
GSE98258,GSE98258_annotated_diffana_exp+-_p100+--p30+-.xlsx,bimodal,NA,NA,NA,NA,NA,NA,anti-conservative,0.5867208856555877,0.5671963677639047,0.4910456383593299,26.3,283.4280249716232,381.2999999999999
GSE98580,GSE98580_DESeq2_ERbeta_EV_HEK293.txt.gz,conservative,NA,NA,NA,NA,NA,NA,anti-conservative,0.6957409886107503,0.6937424058323207,0.6631191158411789,30.05,396.09222660996346,252.05000000000007
GSE106365,GSE106365_S2.L7vsControl.Differential_analysis_results.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE95852,GSE95852_miRNA_wt_ko_p11.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
